batch-number,read-count,write-count,fd-4,fd-5,fd-6,fd-29,fd-n,read-max,write-max,read-got,write-got,read-time,write-time,total-entries-batch,is-malicious
1429,0.4691520950,0.7247437775,0.7969821674,0.2939313984,0.9468569693,0.0000000000,0.0025024062,1.0000000000,1.0000000000,0.8110000000,0.9477406209,0.4939171513,0.6332997263,0.8781204112,0
1430,0.5262289673,0.7435944363,0.9382716049,0.3183817062,0.9547525053,0.0000000000,0.0040423484,1.0000000000,1.0000000000,0.9484400000,0.9714730912,0.5343763493,0.6408733016,0.9231522271,0
1431,0.4246123392,0.6925329429,0.6076817558,0.2962181179,0.8879441239,0.0000000000,0.0040423484,1.0000000000,1.0000000000,0.6346000000,0.9045906748,0.4016457979,0.5720509866,0.8273780388,0
1432,0.4424282415,0.6848462665,0.7091906722,0.2868953386,0.8861220771,0.0000000000,0.0034648701,1.0000000000,1.0000000000,0.7277200000,0.8948819370,0.4388794351,0.5744874934,0.8293359439,0
1433,0.4262619597,0.7029648609,0.6268861454,0.2918205805,0.9101123596,0.0000000000,0.0040423484,1.0000000000,1.0000000000,0.6518000000,0.9182548244,0.4061412643,0.5687743051,0.8374938815,0
1434,0.4071263609,0.7047950220,0.5555555556,0.2891820580,0.9134527786,0.0000000000,0.0055822907,1.0000000000,1.0000000000,0.5847600000,0.9196931559,0.3788382902,0.5595803927,0.8296622614,0
1435,0.4397888486,0.7016837482,0.6584362140,0.2939313984,0.9049498937,0.0000000000,0.0071222329,1.0000000000,1.0000000000,0.6826800000,0.9160973271,0.4147258273,0.5632291517,0.8430412792,0
1436,0.3744638733,0.6282942899,0.4814814815,0.2738786280,0.8044336471,0.0000000000,0.0023099134,1.0000000000,1.0000000000,0.5120400000,0.8215270286,0.3480811724,0.4920903548,0.7453091858,0
1437,0.0508083141,0.0543557833,0.0548696845,0.0179419525,0.0889766171,0.0000000000,0.0032723773,1.0000000000,1.0000000000,0.0603600000,0.0711974110,0.0568663805,0.0523308848,0.0735845978,0
1438,0.0805014847,0.0874816984,0.0877914952,0.0277924362,0.1409049499,0.0000000000,0.0071222329,1.0000000000,1.0000000000,0.0963600000,0.1145870790,0.0814771544,0.0752796582,0.1178006200,0
1439,0.0620257341,0.0576500732,0.0864197531,0.0221635884,0.0956574552,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0906800000,0.0755124056,0.0667462474,0.0513946901,0.0820688530,0
1440,0.0640052788,0.0594802343,0.0891632373,0.0228671944,0.0986941998,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0935600000,0.0779096248,0.0745180708,0.0581640981,0.0846793930,0
1441,0.0620257341,0.0576500732,0.0864197531,0.0221635884,0.0956574552,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0906800000,0.0755124056,0.0705305666,0.0550674540,0.0820688530,0
1442,0.0616958100,0.0576500732,0.0864197531,0.0221635884,0.0953537807,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0906000000,0.0755124056,0.0751276255,0.0605765999,0.0819056942,0
1443,0.0692840647,0.0684480234,0.0877914952,0.0237467018,0.1114485272,0.0000000000,0.0036573628,1.0000000000,1.0000000000,0.0936400000,0.0896559990,0.1099230437,0.0912669835,0.0952847120,0
1444,0.0636753547,0.0592972182,0.0877914952,0.0226912929,0.0986941998,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0922800000,0.0776699029,0.0813755619,0.0708867444,0.0843530755,0
1445,0.0623556582,0.0583821376,0.0877914952,0.0223394899,0.0965684786,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0919600000,0.0764712933,0.0836105961,0.0662657833,0.0828846468,0
1446,0.0623556582,0.0578330893,0.0877914952,0.0223394899,0.0956574552,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0919600000,0.0757521275,0.0779976126,0.0627970618,0.0823951705,0
1447,0.0636753547,0.0592972182,0.0877914952,0.0226912929,0.0986941998,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0922800000,0.0776699029,0.0739339141,0.0600724951,0.0843530755,0
1448,0.0616958100,0.0574670571,0.0850480110,0.0219876869,0.0956574552,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0894000000,0.0752726837,0.0753816067,0.0582121081,0.0817425355,0
1449,0.0999670076,0.1224377745,0.0891632373,0.0369393140,0.1946553295,0.0000000000,0.0109720885,1.0000000000,1.0000000000,0.1022800000,0.1603739662,0.1229776751,0.1316073743,0.1585903084,0
