batch-number,read-count,write-count,fd-4,fd-5,fd-6,fd-29,fd-n,read-max,write-max,read-got,write-got,read-time,write-time,total-entries-batch,is-malicious
1425,0.2639000315,1.4693316734,1.5667879206,0.0923536257,2.3462391440,-0.2487921565,-0.2152864909,0.1614974456,0.1490711985,1.4975033221,1.7440470579,0.2158555480,1.2131065218,1.0857483418,0
1426,0.6726719562,1.6489559957,4.4420462117,0.1094262439,2.6120674862,-0.2487921565,-0.2129655172,0.1614974456,0.1490711985,4.2115273370,1.9424297488,0.8381189716,1.6962359627,1.3867511288,0
1427,0.5120829858,1.5162189046,3.3701615087,0.0947925712,2.4204237977,-0.2487921565,-0.2152864909,0.1614974456,0.1490711985,3.1959501939,1.7963878786,0.6461206878,1.5201932955,1.2275502328,0
1428,0.5987037032,1.4937658643,4.0292257517,0.0962559384,2.3853921557,-0.2487921565,-0.2210889249,0.1614974456,0.1490711985,3.8151733985,1.7729626162,0.9645429582,1.8676355292,1.2514738647,0
1429,0.5549067113,1.6542390641,3.5946778992,0.1079628766,2.6244315951,-0.2487921565,-0.2187679513,0.1614974456,0.1490711985,3.4128592504,1.9501161630,0.7318967561,1.6749468522,1.3375989396,0
1430,0.7232818136,1.7222585685,4.3406517127,0.1757655603,2.6512204978,-0.2487921565,-0.2094840568,0.1614974456,0.1490711985,4.1442621143,2.0225880686,0.8616605516,1.7061149002,1.4576520743,0
1431,0.4235157354,1.5380115613,2.5952178383,0.1143041348,2.4245451673,-0.2487921565,-0.2094840568,0.1614974456,0.1490711985,2.4741262382,1.8183490621,0.4359571019,1.4228857607,1.2023216755,0
1432,0.4760721258,1.5102754527,3.1311601898,0.0884513130,2.4183631128,-0.2487921565,-0.2129655172,0.1614974456,0.1490711985,2.9696750936,1.7887014644,0.5553756356,1.4329128823,1.2075413770,0
1433,0.4283820679,1.5756534230,2.6966123372,0.1021094075,2.4997601633,-0.2487921565,-0.2094840568,0.1614974456,0.1490711985,2.5656580285,1.8600753107,0.4503753014,1.4094010109,1.2292901333,0
1434,0.3719326116,1.5822572584,2.3200041984,0.0947925712,2.5110939299,-0.2487921565,-0.2002001623,0.1614974456,0.1490711985,2.2088969110,1.8644675474,0.3628071406,1.3715646801,1.2084113273,0
1435,0.4682859939,1.5710307383,2.8631890141,0.1079628766,2.4822443423,-0.2487921565,-0.1909162679,0.1614974456,0.1490711985,2.7299895218,1.8534869557,0.4779083603,1.3865806652,1.2440792876,0
1436,0.2755792293,1.3062169395,1.9289111311,0.0523549203,2.1412010041,-0.2487921565,-0.2199284381,0.1614974456,0.1490711985,1.8219090162,1.5646973928,0.2641605892,1.0938183509,0.9835291873,0
1437,-0.6791951949,-0.7647458360,-0.3234952380,-0.6573782071,-0.2862857173,-0.2487921565,-0.2141260041,0.1614974456,0.1490711985,-0.5817583702,-0.7265860848,-0.6698454869,-0.7159536136,-0.8072634054,0
1438,-0.5916012110,-0.6452164156,-0.1496760970,-0.6300620180,-0.1100971649,-0.2487921565,-0.1909162679,0.1614974456,0.1490711985,-0.3901802044,-0.5940869444,-0.5909119540,-0.6215109706,-0.6893851463,0
1439,-0.6461041343,-0.7528589323,-0.1569185612,-0.6456712690,-0.2636181842,-0.2487921565,-0.2338542798,0.1614974456,0.1490711985,-0.4204069817,-0.7134093748,-0.6381580315,-0.7198063993,-0.7846446988,0
1440,-0.6402645354,-0.7462550970,-0.1424336328,-0.6437201126,-0.2533147601,-0.2487921565,-0.2338542798,0.1614974456,0.1490711985,-0.4050807284,-0.7060889803,-0.6132316527,-0.6919477954,-0.7776850968,0
1441,-0.6461041343,-0.7528589323,-0.1569185612,-0.6456712690,-0.2636181842,-0.2487921565,-0.2338542798,0.1614974456,0.1490711985,-0.4204069817,-0.7134093748,-0.6260206771,-0.7046916248,-0.7846446988,0
1442,-0.6470774008,-0.7528589323,-0.1569185612,-0.6456712690,-0.2646485266,-0.2487921565,-0.2338542798,0.1614974456,0.1490711985,-0.4208327109,-0.7134093748,-0.6112766426,-0.6820194631,-0.7850796740,0
1443,-0.6246922716,-0.7138963036,-0.1496760970,-0.6412811671,-0.2100403788,-0.2487921565,-0.2118050304,0.1614974456,0.1490711985,-0.4046549992,-0.6702190472,-0.4996781493,-0.5557172466,-0.7494117136,0
1444,-0.6412378019,-0.7469154805,-0.1496760970,-0.6442079017,-0.2533147601,-0.2487921565,-0.2338542798,0.1614974456,0.1490711985,-0.4118923965,-0.7068210197,-0.5912377891,-0.6395894264,-0.7785550471,0
1445,-0.6451308679,-0.7502173982,-0.1496760970,-0.6451834799,-0.2605271570,-0.2487921565,-0.2338542798,0.1614974456,0.1490711985,-0.4135953136,-0.7104812170,-0.5840694187,-0.6586063811,-0.7824698232,0
1446,-0.6451308679,-0.7521985488,-0.1496760970,-0.6451834799,-0.2636181842,-0.2487921565,-0.2338542798,0.1614974456,0.1490711985,-0.4135953136,-0.7126773353,-0.6020718034,-0.6728814459,-0.7837747486,0
1447,-0.6412378019,-0.7469154805,-0.1496760970,-0.6442079017,-0.2533147601,-0.2487921565,-0.2338542798,0.1614974456,0.1490711985,-0.4118923965,-0.7068210197,-0.6151052040,-0.6840940400,-0.7785550471,0
1448,-0.6470774008,-0.7535193159,-0.1641610254,-0.6461590580,-0.2636181842,-0.2487921565,-0.2338542798,0.1614974456,0.1490711985,-0.4272186498,-0.7141414142,-0.6104620551,-0.6917502166,-0.7855146491,0
1449,-0.5341784883,-0.5190831599,-0.1424336328,-0.6046969853,0.0722734419,-0.2487921565,-0.1677065317,0.1614974456,0.1490711985,-0.3586762394,-0.4542674096,-0.4578083496,-0.3897017010,-0.5806413649,0
1450,-0.6402645354,-0.7462550970,-0.1424336328,-0.6437201126,-0.2533147601,-0.2487921565,-0.2338542798,0.1614974456,0.1490711985,-0.4050807284,-0.7060889803,-0.6110322663,-0.6905153494,-0.7776850968,0
1451,-0.6461041343,-0.7528589323,-0.1569185612,-0.6456712690,-0.2636181842,-0.2487921565,-0.2338542798,0.1614974456,0.1490711985,-0.4204069817,-0.7134093748,-0.6171416729,-0.6983691048,-0.7846446988,0
1452,-0.6461041343,-0.7528589323,-0.1569185612,-0.6456712690,-0.2636181842,-0.2487921565,-0.2338542798,0.1614974456,0.1490711985,-0.4204069817,-0.7134093748,-0.6445932731,-0.7244001052,-0.7846446988,0
1453,-0.6431843349,-0.7495570147,-0.1496760970,-0.6446956908,-0.2584664722,-0.2487921565,-0.2338542798,0.1614974456,0.1490711985,-0.4127438550,-0.7097491775,-0.6452449431,-0.7233628168,-0.7811648978,0
1454,-0.6431843349,-0.7495570147,-0.1496760970,-0.6446956908,-0.2584664722,-0.2487921565,-0.2338542798,0.1614974456,0.1490711985,-0.4127438550,-0.7097491775,-0.6595816839,-0.7388233541,-0.7811648978,0
